"","page","searchenginekeyword","pageviews","segment.id","segment.name"
"3375","Zika Virus | CDC","cdc  zika",3,"",""
"3376","Zika Virus | CDC","zika symptoms",3,"",""
"3377","Zika Virus | CDC","edc.gov/zika/index.html",3,"",""
"3378","Zika Virus | CDC","zyka virus",3,"",""
"3379","Zika Virus | CDC","cbc zika",3,"",""
"3380","Zika Virus | CDC","japanese encephilites",3,"",""
"3381","Zika Virus | CDC","zika virus symptoms",3,"",""
"3382","Zika Virus | CDC","cdc.gov zika virus",3,"",""
"3383","Zika Virus | CDC","mosquito zika",3,"",""
"3384","Zika Virus | CDC","ika virus",3,"",""
"3385","Zika Virus | CDC","zika virus in us",3,"",""
"3386","Zika Virus | CDC","zika travel information",3,"",""
"3387","Zika Virus | CDC","zeka vi",3,"",""
"3388","Zika Virus | CDC","is florida zika free cdc",3,"",""
"3389","Zika Virus | CDC","zika map 2017",3,"",""
"3390","Zika Virus | CDC","cdc sika",3,"",""
"3391","Zika Virus | CDC","zykea virus",3,"",""
"3392","Zika Virus | CDC","current news of zika fever",3,"",""
"3393","Zika Virus | CDC","www.cdc.com",3,"",""
"3394","Zika Virus | CDC","cdc zika information",3,"",""
"3395","Zika Virus | CDC","cdc and ika virus",3,"",""
"3396","Zika Virus | CDC","cdcd zika",2,"",""
"3397","Zika Virus | CDC","rgv zika commercial",2,"",""
"3398","Zika Virus | CDC","whatis zika",2,"",""
"3399","Zika Virus | CDC","cdc fact sheets",2,"",""
"3400","Zika Virus | CDC","picture of  zika virus",2,"",""
"3401","Zika Virus | CDC","cdc and zika virus",2,"",""
"3402","Zika Virus | CDC","cdc guidelines for zika virus",2,"",""
"3403","Zika Virus | CDC","cdc latest countries with zika",2,"",""
"3404","Zika Virus | CDC","cdc for zika virus",2,"",""
"3405","Zika Virus | CDC","zika  2017",2,"",""
"3406","Zika Virus | CDC","how do you get zika virus",2,"",""
"3407","Zika Virus | CDC","symptoms of chikungunya",2,"",""
"3408","Zika Virus | CDC","zika puerto rico update 2017",2,"",""
"3409","Zika Virus | CDC","cdc zika testing",2,"",""
"3410","Zika Virus | CDC","cd",2,"",""
"3411","Zika Virus | CDC","how does zika play a role in the early childhood centres",2,"",""
"3412","Zika Virus | CDC","central disease control",2,"",""
"3413","Zika Virus | CDC","public health timelines",2,"",""
"3414","Zika Virus | CDC","zika virus diagnosis",2,"",""
"3415","Zika Virus | CDC","zika map cdc",2,"",""
"3416","Zika Virus | CDC","virus zika 2017",2,"",""
"3417","Zika Virus | CDC","zikv",2,"",""
"3418","Zika Virus | CDC","zika c",2,"",""
"3419","Zika Virus | CDC","zika virus epidemiology and control",2,"",""
"3420","Zika Virus | CDC","cdc.zika",2,"",""
"3421","Zika Virus | CDC","government website for zika virus info",2,"",""
"3422","Zika Virus | CDC","hepatitis after trip to cuba",2,"",""
"3423","Zika Virus | CDC","zika update as of 2017",2,"",""
"3424","Zika Virus | CDC","cdc vaccines",2,"",""
"3425","Zika Virus | CDC","zaka virus",2,"",""
"3426","Zika Virus | CDC","zika fort lauderdale",2,"",""
"3427","Zika Virus | CDC","cdc vika",2,"",""
"3428","Zika Virus | CDC","zika%2",2,"",""
"3429","Zika Virus | CDC","zika disease virus",2,"",""
"3430","Zika Virus | CDC","cdc zika virus map",2,"",""
"3431","Zika Virus | CDC","cdc and zika in pr jan 2017",2,"",""
"3432","Zika Virus | CDC","risk of zika in florida",2,"",""
"3433","Zika Virus | CDC","zika transmission",2,"",""
"3434","Zika Virus | CDC","after being infected with the zika virus, what percentage of people becomes ill?",2,"",""
"3435","Zika Virus | CDC","hawaii cdc zika",2,"",""
"3436","Zika Virus | CDC","zika virus distribution map",2,"",""
"3437","Zika Virus | CDC","zika longevity",2,"",""
"3438","Zika Virus | CDC","cdc zika list",2,"",""
"3439","Zika Virus | CDC","zikka",2,"",""
"3440","Zika Virus | CDC","how do you get zika virus?",2,"",""
"3441","Zika Virus | CDC","cdc.gov zika virus in the us",2,"",""
